Date,Close
5/30/2018 16:00:00,81.6
5/31/2018 16:00:00,82.07
6/1/2018 16:00:00,83.25
6/4/2018 16:00:00,84.57
6/5/2018 16:00:00,85.05
6/6/2018 16:00:00,85.21
6/7/2018 16:00:00,83.27
6/8/2018 16:00:00,84.34
6/11/2018 16:00:00,83.89
6/12/2018 16:00:00,85.02
6/13/2018 16:00:00,85.27
6/14/2018 16:00:00,85.61
6/15/2018 16:00:00,85.31
6/18/2018 16:00:00,85.85
6/19/2018 16:00:00,84.52
6/20/2018 16:00:00,85.95
6/21/2018 16:00:00,85.97
6/22/2018 16:00:00,85.12
6/25/2018 16:00:00,82.19
6/26/2018 16:00:00,82.32
6/27/2018 16:00:00,80.67
6/28/2018 16:00:00,82.48
6/29/2018 16:00:00,83.27
7/2/2018 16:00:00,83.89
7/3/2018 13:00:00,83.27
7/5/2018 16:00:00,84.59
7/6/2018 16:00:00,85.94
7/9/2018 16:00:00,86.23
7/10/2018 16:00:00,86.17
7/11/2018 16:00:00,86.25
7/12/2018 16:00:00,89.13
7/13/2018 16:00:00,87.99
7/16/2018 16:00:00,87.77
7/17/2018 16:00:00,88.58
7/18/2018 16:00:00,88.22
7/19/2018 16:00:00,87.38
7/20/2018 16:00:00,87.47
7/23/2018 16:00:00,89.24
7/24/2018 16:00:00,91.41
7/25/2018 16:00:00,91.37
7/26/2018 16:00:00,89.14
7/27/2018 16:00:00,85.46
7/30/2018 16:00:00,82.39
7/31/2018 16:00:00,82.14
8/1/2018 16:00:00,83.46
8/2/2018 16:00:00,85.53
8/3/2018 16:00:00,85.19
8/6/2018 16:00:00,85.77
8/7/2018 16:00:00,86.3
8/8/2018 16:00:00,86.74
8/9/2018 16:00:00,87.17
8/10/2018 16:00:00,87.01
8/13/2018 16:00:00,87.01
8/14/2018 16:00:00,87.73
8/15/2018 16:00:00,85.19
8/16/2018 16:00:00,85.32
8/17/2018 16:00:00,85.45
8/20/2018 16:00:00,85.75
8/21/2018 16:00:00,86.22
8/22/2018 16:00:00,86.95
8/23/2018 16:00:00,87.38
8/24/2018 16:00:00,90.1
8/27/2018 16:00:00,89.97
8/28/2018 16:00:00,90.61
8/29/2018 16:00:00,92.62
8/30/2018 16:00:00,92.09
8/31/2018 16:00:00,92.33
9/4/2018 16:00:00,93.07
9/5/2018 16:00:00,89.05
9/6/2018 16:00:00,89
9/7/2018 16:00:00,88.82
9/10/2018 16:00:00,89.8
9/11/2018 16:00:00,91.43
9/12/2018 16:00:00,92.4
9/13/2018 16:00:00,92.19
9/14/2018 16:00:00,90.78
9/17/2018 16:00:00,88.68
9/18/2018 16:00:00,89.72
9/19/2018 16:00:00,89.31
9/20/2018 16:00:00,90.6
9/21/2018 16:00:00,90.62
9/24/2018 16:00:00,89.62
9/25/2018 16:00:00,90.04
9/26/2018 16:00:00,89.85
9/27/2018 16:00:00,88.99
9/28/2018 16:00:00,87.84
10/1/2018 16:00:00,87.55
10/2/2018 16:00:00,86.68
10/3/2018 16:00:00,87.15
10/4/2018 16:00:00,84.34
10/5/2018 16:00:00,83.18
10/8/2018 16:00:00,80.55
10/9/2018 16:00:00,80.03
10/10/2018 16:00:00,75.45
10/11/2018 16:00:00,75.9
10/12/2018 16:00:00,79.03
10/15/2018 16:00:00,77.23
10/16/2018 16:00:00,80.61
10/17/2018 16:00:00,80.09
10/18/2018 16:00:00,77.48
10/19/2018 16:00:00,84.78
10/22/2018 16:00:00,85.43
10/23/2018 16:00:00,87.57
10/24/2018 16:00:00,83.09
10/25/2018 16:00:00,85.96
10/26/2018 16:00:00,83.37
10/29/2018 16:00:00,81.15
10/30/2018 16:00:00,80.9
10/31/2018 16:00:00,84.19
11/1/2018 16:00:00,85.04
11/2/2018 16:00:00,83.51
11/5/2018 16:00:00,84.05
11/6/2018 16:00:00,84.69
11/7/2018 16:00:00,88.23
11/8/2018 16:00:00,89.04
11/9/2018 16:00:00,86.76
11/12/2018 16:00:00,83.78
11/13/2018 16:00:00,83.78
11/14/2018 16:00:00,84.05
11/15/2018 16:00:00,86.74
11/16/2018 16:00:00,85.06
11/19/2018 16:00:00,80.13
11/20/2018 16:00:00,77.76
11/21/2018 16:00:00,79.12
11/23/2018 13:00:00,77.95
11/26/2018 16:00:00,80.86
11/27/2018 16:00:00,81.97
11/28/2018 16:00:00,85.98
11/29/2018 16:00:00,84.26
11/30/2018 16:00:00,85.81
12/3/2018 16:00:00,87.98
12/4/2018 16:00:00,84.19
12/6/2018 16:00:00,85.82
12/7/2018 16:00:00,82.77
12/10/2018 16:00:00,84.93
12/11/2018 16:00:00,85.51
12/12/2018 16:00:00,86.5
12/13/2018 16:00:00,87.56
12/14/2018 16:00:00,85.92
12/17/2018 16:00:00,84.1
12/18/2018 16:00:00,85.51
12/19/2018 16:00:00,84.03
12/20/2018 16:00:00,82.44
12/21/2018 16:00:00,78.14
12/24/2018 13:00:00,77.06
12/26/2018 16:00:00,82.8
12/27/2018 16:00:00,84.31
12/28/2018 16:00:00,83.26
12/31/2018 16:00:00,84.09
1/2/2019 16:00:00,85.75
1/3/2019 16:00:00,82.09
1/4/2019 16:00:00,86.27
1/7/2019 16:00:00,86.93
1/8/2019 16:00:00,88.7
1/9/2019 16:00:00,89.55
1/10/2019 16:00:00,90.7
1/11/2019 16:00:00,90.65
1/14/2019 16:00:00,90.43
1/15/2019 16:00:00,91.6
1/16/2019 16:00:00,90.55
1/17/2019 16:00:00,90.4
1/18/2019 16:00:00,91.12
1/22/2019 16:00:00,89.94
1/23/2019 16:00:00,90.5
1/24/2019 16:00:00,92.2
1/25/2019 16:00:00,94.28
1/28/2019 16:00:00,92.3
1/29/2019 16:00:00,91.12
1/30/2019 16:00:00,92.42
1/31/2019 16:00:00,88.76
2/1/2019 16:00:00,90.01
2/4/2019 16:00:00,91.66
2/5/2019 16:00:00,92.27
2/6/2019 16:00:00,92.25
2/7/2019 16:00:00,90.85
2/8/2019 16:00:00,91.87
2/11/2019 16:00:00,92.69
2/12/2019 16:00:00,94.38
2/13/2019 16:00:00,94.01
2/14/2019 16:00:00,94.42
2/15/2019 16:00:00,94.91
2/19/2019 16:00:00,95.02
2/20/2019 16:00:00,94.73
2/21/2019 16:00:00,94.96
2/22/2019 16:00:00,95.98
2/25/2019 16:00:00,96.7
2/26/2019 16:00:00,96.59
2/27/2019 16:00:00,97.86
2/28/2019 16:00:00,98.07
3/1/2019 16:00:00,98.8
3/4/2019 16:00:00,96.57
3/5/2019 16:00:00,96.53
3/6/2019 16:00:00,96.46
3/7/2019 16:00:00,96.21
3/8/2019 16:00:00,95.69
3/11/2019 16:00:00,97.45
3/12/2019 16:00:00,97.5
3/13/2019 16:00:00,99.31
3/14/2019 16:00:00,99.03
3/15/2019 16:00:00,100.73
3/18/2019 16:00:00,100.27
3/19/2019 16:00:00,101.54
3/20/2019 16:00:00,102.31
3/21/2019 16:00:00,104.15
3/22/2019 16:00:00,101.27
3/25/2019 16:00:00,101.55
3/26/2019 16:00:00,103.15
3/27/2019 16:00:00,103.07
3/28/2019 16:00:00,103.86
3/29/2019 16:00:00,103.84
4/1/2019 16:00:00,105.55
4/2/2019 16:00:00,105.23
4/3/2019 16:00:00,104.69
4/4/2019 16:00:00,104.46
4/5/2019 16:00:00,105.73
4/8/2019 16:00:00,106.57
4/9/2019 16:00:00,106.93
4/10/2019 16:00:00,107.51
4/11/2019 16:00:00,106.46
4/12/2019 16:00:00,108.48
4/15/2019 16:00:00,108.14
4/16/2019 16:00:00,108.2
4/17/2019 16:00:00,108.81
4/18/2019 16:00:00,107.36
4/22/2019 16:00:00,106.81
